Reservoir;Site;DataStream; TIMESTAMP_start; TIMESTAMP_end; start_parameter; end_parameter; flag;update_value;adjustment_code; notes
CCR;51;CCRW; 2021-08-30 09:50:00 EST; 2021-08-30 09:50:00 EST; EXOTemp_C_9; EXOWiper_V_9;1;NA;NA; 9m EXO was up for maintenance
CCR;51;CCRW; 2021-09-07 15:25:00 EST; 2021-09-27 08:30:00 EST; EXOTemp_C_9; EXOWiper_V_9;1;NA;NA; 9m EXO removed values because of malfunctioning wiper
CCR;51;CCRW; 2021-09-23 10:30:00 EST; 2021-09-23 10:50:00 EST; EXOTemp_C_1; EXOWiper_V_9;1;NA;NA; EXOs was up for maintenance and data download
CCR;51;CCRW; 2021-09-23 10:50:00 EST; 2021-09-27 08:20:00 EST; EXOTemp_C_9; EXOWiper_V_9;1;NA;NA; 9m EXO was up and removed for maintenance at the lab
CCR;51;CCRW; 2021-09-27 08:00:00 EST; 2021-09-27 08:10:00 EST; EXOTemp_C_1; EXOWiper_V_1;1;NA;NA; 1m EXO was up for maintenance and data download and Central wiper removed
CCR;51;CCRW; 2021-10-04 08:10:00 EST; 2021-10-04 08:30:00 EST; EXOTemp_C_1; EXOWiper_V_1;1;NA;NA; 1m EXO was up for maintenance and data download
CCR;51;CCRW; 2021-10-12 08:30:00 EST; 2021-10-12 08:30:00 EST; EXOTemp_C_1; EXOWiper_V_1;1;NA;NA; 1m EXO was up for maintenance and data download
CCR;51;CCRW; 2021-10-26 08:30:00 EST; 2021-10-26 08:40:00 EST; EXOTemp_C_1; EXOWiper_V_1;1;NA;NA; 1m EXO was up for maintenance and data download
CCR;51;CCRW; 2021-11-08 16:10:00 EST; 2021-11-08 16:10:00 EST; EXOTemp_C_1; EXOWiper_V_9;1;NA;NA; EXOs were up for maintenance and data download
CCR;51;CCRW; 2021-11-19 16:10:00 EST; 2021-11-19 16:10:00 EST; EXOTemp_C_9; EXOWiper_V_9;1;NA;NA; 9m EXO was out of the water
CCR;51;CCRW; 2021-12-03 13:35:00 EST; 2021-12-03 13:45:00 EST; ThermistorTemp_C_1; ThermistorTemp_C_13;1;NA;NA; temp string pulled up for cleaning and inspection
CCR;51;CCRW; 2021-12-03 13:35:00 EST; 2021-12-03 13:45:00 EST; LvlPressure_psi_13; LvlTemp_C_13;1;NA;NA; temp string pulled up for cleaning and inspection
CCR;51;CCRW; 2021-12-03 14:00:00 EST; 2021-12-03 14:00:00 EST; EXOTemp_C_9; EXOWiper_V_9;1;NA;NA; 9m EXO was up for maintenance
CCR;51;CCRW; 2021-12-03 15:10:00 EST; 2021-12-03 15:10:00 EST; EXOTemp_C_1; EXOWiper_V_1;1;NA;NA; 1m EXO was up for maintenance and data download
CCR;51;CCRW; 2021-12-04 11:40:00 EST; 2021-12-04 11:40:00 EST; EXOTemp_C_1; EXOWiper_V_1;1;NA;NA; 1m EXO was up for maintenance and data download
CCR;51;CCRW; 2021-12-14 10:45:00 EST; 2021-12-14 10:55:00 EST; EXOTemp_C_1; EXOWiper_V_1;1;NA;NA; 1m EXO was up for maintenance and data download
CCR;51;CCRW; 2022-01-11 12:05:00 EST; 2022-01-11 10:15:00 EST; EXOTemp_C_1; EXOWiper_V_1;1;NA;NA; 1m EXO was up for maintenance and data download
CCR;51;CCRW; 2022-01-14 00:00:00 EST; 2022-01-26 17:00:00 EST; EXOTemp_C_9; EXOWiper_V_9;4;NA;NA; 9m EXO removed observations because sensor malfunctioned
